Gene	Type	# condition specific	# condition up	# condition down	Condition up	Condition down	Gene_page
Mtr.44716.1.S1_at	S	31	31	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.45490.1.S1_at	S	4	4	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2	-	NA
Mtr.45833.1.S1_s_at	S	7	0	7	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.47549.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.47975.1.S1_s_at	S	14	0	14	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,GiantCell,Nod_zone2,RT_LCM_cortical,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.48312.1.S1_at	S	1	1	0	Nod_zone2	-	NA
Mtr.49161.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.49594.1.S1_at	S	34	34	0	RT_Myc_3wks_infection,Nod_zone2,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,A17_LimN,Root_A17_5d_seedling_3dpi_Sinorhizobium,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT	-	NA
Mtr.49773.1.S1_at	S	1	1	0	Nod_zone2	-	NA
Mtr.50026.1.S1_at	S	41	41	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,Root,RT_DeNod_28dpi,Nod_4dpi,Nod_10dpi,Nod_14dpi,Nod_28dpi,Nod_16dpi_NO3,Root_meristem,Root_14dpi_control,Nod_6dpi,Nod_14dpi_C,Nod_10dpi_C,Nod_20dpi,RT_LCM_arbuscular,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,sunn_LimN,Nodule_A17_6dpi,Nodule_efd_6dpi,Nodule_ya1_hap2_6dpi,Nod_R108,NOOT_NF2717,NOOT_TNK507,RT_Nod_5WKS_SuffN2_N2S,RT_Nod_5WKS_LimtN2_N2C,Nodule_20d,Nod_phosphinothricin_0h,Nod_phosphinothricin_4h,Nod_phosphinothricin_8h,Nod_phosphinothricin_24h,Nodule_20d_4h_PPT,Nodule_20d_8h_PPT,Nodule_20d_24h_PPT,RT_drought_3d,RT_drought_14d,RT_watered_d2	-	NA
Mtr.50675.1.S1_at	S	1	1	0	RT_BC	-	NA
Mtr.52301.1.S1_s_at	S	3	0	3	-	RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.5823.1.S1_a_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.5956.1.S1_s_at	S	25	25	0	RT_Tip_sickle_0hpi,Root_non_Myc_control_6wk_20_uM_P,Root_non_Myc_6wk_2_mM_P,Root_28dpi_Myc_G_intraradices_6wk_20_uM_P,RT_3mm_tip,RT_2ds_Sdl_culture_180mM_NaCl_0h,RT_2ds_Sdl_culture_180mM_NaCl_6h,RT_2ds_Sdl_culture_180mM_NaCl_24h,RT_2ds_Sdl_culture_180mM_NaCl_48h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_1h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_2h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_5h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_10h,RT_2wks_Sdl_Hydroponic_200mM_NaCl_24h,Root_sunn_2_skl_5d_seedling_4h_Mock,RT_tip,RT_Whole,RT_BC,RT_drought_2d,RT_drought_3d,RT_drought_4d,RT_drought_7d,RT_drought_10d,RT_drought_14d,RT_watered_4d	-	NA
Mtr.6050.1.S1_at	S	1	1	0	RT_Myc_3wks_infection	-	NA
Mtr.6090.1.S1_at	S	4	4	0	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	-	NA
Mtr.6639.1.S1_s_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.6978.1.S1_at	S	1	1	0	GiantCell	-	NA
Mtr.7004.1.S1_at	S	4	4	0	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	-	NA
Mtr.7296.1.S1_at	S	1	1	0	Nod_zone2	-	NA
Mtr.7336.1.S1_at	S	12	3	9	RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108	NA
Mtr.7371.1.S1_s_at	S	12	0	12	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,Root_A17_control,HairyRoot_WT_Myc_CK,HairyRoot_WT_Myc_Infect,Root_A17_inoculated_with_Gigaspora_early_contact,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.7508.1.S1_at	S	8	0	8	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.7891.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.7990.1.S1_at	S	7	7	0	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	-	NA
Mtr.8611.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
Mtr.8925.1.S1_s_at	S	1	0	1	-	RT_LCM_adjacent	NA
Mtr.9030.1.S1_at	S	6	0	6	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,Nod_zone2,RT_LCM_arbuscular,RT_LCM_cortical	NA
Mtr.9344.1.S1_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.9344.1.S1_x_at	S	11	0	11	-	RT_Tip_F83005_5_0hpi,RT_Tip_F83005_5_12hpi,RT_Tip_F83005_5_72hpi,Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC,RT_R108,Nod_R108,NOOT_NF2717,NOOT_TNK507	NA
Mtr.9608.1.S1_at	S	6	0	6	-	RT_Myc_3wks_infection,GiantCell,GallTissue_GiantCell,RT_LCM_arbuscular,RT_LCM_cortical,RT_LCM_adjacent	NA
Mtr.9976.1.S1_at	S	4	0	4	-	Nod_Naut1_SalsC,Nod_Naut1_SalsB,Nod_Sals4_SalsB,Nod_Sals4_SalsC	NA
